Date_Time,Cars
2020-06-16 10:00,682
2020-06-16 11:00,747
2020-06-16 12:00,539
2020-06-16 14:00,820
2020-06-16 15:00,746
2020-06-16 16:00,769
2020-06-16 17:00,617
2020-06-16 18:00,315
2020-06-16 19:00,236
2020-06-17 03:00,135
2020-06-17 04:00,276
2020-06-17 05:00,662
2020-06-17 06:00,658
2020-06-17 07:00,791
2020-06-17 08:00,654
2020-06-17 09:00,834
2020-06-17 10:00,868
2020-06-17 11:00,726
2020-06-17 12:00,760
2020-06-17 13:00,920
2020-06-17 14:00,791
2020-06-17 15:00,707
2020-06-17 16:00,725
2020-06-17 17:00,625
2020-06-17 18:00,404
2020-06-17 19:00,254
2020-06-18 06:00,666
2020-06-18 07:00,676
2020-06-18 16:00,686
2020-06-18 17:00,628
2020-06-18 18:00,465
2020-06-18 19:00,272
2020-06-19 03:00,93
2020-06-19 04:00,304
2020-06-19 05:00,634
2020-06-19 06:00,690
2020-06-19 07:00,702
2020-06-19 08:00,665
2020-06-19 09:00,616
2020-06-19 10:00,750
